Referência (ABNT);Link/DOI;Tipo;Região/Bacia;Tipo de instalação;Estratégia;Variáveis oceanográficas;Impactos avaliados;Método;Principais achados (1);Principais achados (2);Principais achados (3);Limitações/Lacunas;Como entra no meu TCC;R1 Aderência (0-3);R2 Evidência (0-3);R3 Aplicabilidade (0-3);R4 Utilidade (0-3);Score total;Tags
Steenhagen, Michelle Maximiano. A regulação do descomissionamento de instalações marítimas de produção de petróleo e gás e sua relação com a viabilidade dos campos maduros no Brasil. 2020. Escola Superior de Guerra (Campus Rio de Janeiro).;;Artigo;Brasil;;Descomissionamento (geral);;;;;;;;;;;;;;[CASE]
de Moraes Ruivo, Fabio. Descomissionamento de sistemas de produção offshore. 2001. [sn].;;Artigo;;;Descomissionamento (geral);;;;;;;;;;;;;;[MET]
"Thornton, Win; Wiseman, James. Current trends and future technologies for the decommissioning of offshore platforms. Offshore Technology Conference, p. OTC-12020-MS, 2000. Otc.";;Artigo (Conferência);;Instalação Offshore (geral);Descomissionamento (geral);Correntes;;;;;;;;;;;;;[MET]
Efthymiou, Mike. Decommissioning of offshore oil and gas installations. Encyclopedia of ocean engineering, p. 275-287, 2022. Springer.;;Capítulo/Livro;;Instalação Offshore (geral);Descomissionamento (geral);;;;;;;;;;;;;;[MET]
Presley, Jennifer. Offshore Decommissioning: Planning for the End at the Beginning. Journal of Petroleum Technology, v. 75, n. 6, p. 18-21, 2023. SPE.;;Artigo (Conferência);;;Descomissionamento (geral);;;;;;;;;;;;;;[MET]
Wathern, Peter. Environmental impact assessment. 1995. Routledge Oxfordshire, UK.;;Artigo;;;;;Ambiental (geral);;;;;;;;;;;;[EVI]
Shams, Shahriar et al. An assessment of environmental impact on offshore decommissioning of oil and gas pipelines. Environments, v. 10, n. 6, p. 104, 2023. MDPI.;;Artigo;;Linhas/Dutos/Risers;Descomissionamento (geral);;Ambiental (geral);;;;;;;;;;;;[MET][EVI]
Sant’Ana, Júlia Fernandes et al. Avaliação de emissões de gases de efeito estufa no desmantelamento de uma plataforma offshore.;;;;Instalação Offshore (geral);;;;;;;;;;;;;;;[MET]
"de Lima, Yarly Queiroz; Gomes, Luiz Flávio Autran Monteiro. Identificação e valoração dos critérios de decisão em projetos de descomissionamento offshore. Revista de Gestão e Projetos, v. 12, n. 2, p. set/27, 2021.";;Artigo;;;Descomissionamento (geral);;;;;;;;;;;;;;[MET]
Vidal, Priscila da Cunha Jácome. Framework de apoio à decisão para avaliação das alternativas de descomissionamento de plataformas fixas de óleo e gás offshore. 2022. Universidade Federal do Rio Grande do Norte.;;Artigo;;Instalação Offshore (geral);Descomissionamento (geral);;;;;;;;;;;;;;[MET]
Savignon, Itamar Alves. Descomissionamento de campos maduros de petróleo, uma análise de impactos ao meio ambiente, vida humana e a sociedade. 2025. Universidade do Estado do Rio de Janeiro.;;Artigo;;;Descomissionamento (geral);;Ambiental (geral);;;;;;;;;;;;[EVI][CASE]
Rodrigues, Leonardo Mangia. IMPACTOS SOCIAIS DO DESCOMISSIONAMENTO DE INSTALAÇÕES OFFSHORE DE PETRÓLEO E GÁS: UMA ABORDAGEM MULTIMETODOLÓGICA. 2024. Universidade Federal do Rio de Janeiro.;;Artigo;;;Descomissionamento (geral);;Ambiental (geral);;;;;;;;;;;;[MET][EVI]
Berbert, Yuri Magnani. Análise de demanda e de risco econômico do descomissionamento de sistemas de produção offshore no Brasil usando simulação estocástica. 2018. Universidade Federal do Rio de Janeiro.;;Artigo;Brasil;;Descomissionamento (geral);;;Modelagem;;;;;;;;;;;[MET]
BARBOSA, ANDREA DA COSTA. DESCOMISSIONAMENTO DE SISTEMAS OFFSHORE.;;;;;Descomissionamento (geral);;;;;;;;;;;;;;[MET]
"Borges, Dayana de Oliveira Machado; Antunes, Reynaldo Galvão. Descomissionamento de plataformas de petróleo offshore. Gestão e Gerenciamento, n. 33, 2025.";;Artigo;;Instalação Offshore (geral);Descomissionamento (geral);;;;;;;;;;;;;;[MET]
"dos Santos, Luca Apolonio; Paulos, Manoela Menna Barreto; Rodrigues, Leonardo Mangia. Identificação das partes interessadas no descomissionamento de estruturas offshore de petróleo e gás no contexto brasileiro e internacional. Anais dos Encontros Nacionais de Engenharia e Desenvolvimento Social-ISSN 2594-7060, v. 18, n. 1, 2023.";;Artigo;Brasil;;Descomissionamento (geral);;;;;;;;;;;;;;[MET]
França, Morgana Lima. Descomissionamento de plataformas de produção de petróleo. 2021. Universidade Federal de Alagoas.;;Artigo;;Instalação Offshore (geral);Descomissionamento (geral);;;;;;;;;;;;;;
