ATIVIDADE;ANO;INVESTIMENTO R$;INVESTIMENTO US$
Abandono Permanente;2025;7243187751,6;1425083500,0
Abandono Permanente;2026;11927699644,4;2388812210,0
Abandono Permanente;2027;11386905631,2;2334565860,0
Abandono Permanente;2028;11423759422,1;2358257840,0
Abandono Permanente;2029;8947488187,2;1823775180,0
Coleta - linhas - lançamento (inclui risers);2025;37054924411,4;7360564330,0
Coleta - linhas - lançamento (inclui risers);2026;38858827608,8;7793851970,0
Coleta - linhas - lançamento (inclui risers);2027;36644054692,2;7504599410,0
Coleta - linhas - lançamento (inclui risers);2028;33766676073,4;6979258360,0
Coleta - linhas - lançamento (inclui risers);2029;21314334117,1;4442053400,0
Coleta - manifold - instalação;2025;2937431380,0;569414630,0
Coleta - manifold - instalação;2026;1473570822,1;271451280,0
Coleta - manifold - instalação;2027;509014493,6;99846460,0
Coleta - manifold - instalação;2028;526929039,4;107581770,0
Coleta - manifold - instalação;2029;1666251272,5;347192750,0
Coleta - sistema de processamento submarino - instalação;2025;290880400,0;56150000,0
Coleta - sistema de processamento submarino - instalação;2026;4576480681,0;846869770,0
Coleta - sistema de processamento submarino - instalação;2027;346006385,6;67063040,0
Coleta - sistema de processamento submarino - instalação;2028;708016426,8;146313960,0
Completação para injeção;2025;5512275972,8;1092673240,0
Completação para injeção;2026;4610795873,3;922698520,0
Completação para injeção;2027;4081546434,2;831295080,0
Completação para injeção;2028;2683135265,7;548451490,0
Completação para injeção;2029;3089838016,3;640427960,0
Completação para outros fins;2026;24194602,7;4876390,0
Completação para outros fins;2027;2284000,0;400000,0
Completação para outros fins;2028;1142000,0;200000,0
Completação para produção;2025;8570145168,4;1680927640,0
Completação para produção;2026;6800931591,8;1353855590,0
Completação para produção;2027;7238796571,7;1452409120,0
Completação para produção;2028;7922172379,2;1608043930,0
Completação para produção;2029;5332127953,8;1104959260,0
Descomissionamento - Arrasamento de poço;2025;154386280,4;30351860,0
Descomissionamento - Arrasamento de poço;2026;445950981,5;90181550,0
Descomissionamento - Arrasamento de poço;2027;397373511,6;81460680,0
Descomissionamento - Arrasamento de poço;2028;293655699,3;60793080,0
Descomissionamento - Arrasamento de poço;2029;445103524,1;92890320,0
Descomissionamento - desmobilização UEP;2025;1467606564,4;291699510,0
Descomissionamento - desmobilização UEP;2026;1415862049,3;285543470,0
Descomissionamento - desmobilização UEP;2027;450869444,0;92375300,0
Descomissionamento - desmobilização UEP;2028;729297489,8;148832650,0
Descomissionamento - desmobilização UEP;2029;839074505,6;172666600,0
Descomissionamento - remoção de linhas;2025;3520071692,4;702734530,0
Descomissionamento - remoção de linhas;2026;2609391398,3;523465680,0
Descomissionamento - remoção de linhas;2027;1504885193,9;308552020,0
Descomissionamento - remoção de linhas;2028;2025521644,8;405988340,0
Descomissionamento - remoção de linhas;2029;3023914186,9;615587010,0
Elevação Artificial - sistema submarino;2025;123541444,2;23704020,0
Elevação Artificial - sistema submarino;2026;654339910,0;129954100,0
