Bacia;Ambiente;Ano;Investimento R$;Investimento US$
Alagoas;TERRA;2022;84778727,0;15418630,0
Alagoas;TERRA;2023;229315430,0;41695920,0
Alagoas;TERRA;2024;293891540,0;53702980,0
Amazonas;TERRA;2022;8000025,0;1454550,0
Amazonas;TERRA;2023;115506875,0;21001250,0
Amazonas;TERRA;2024;154122155,0;28022210,0
Barreirinhas;TERRA;2022;995000,0;199000,0
Barreirinhas;TERRA;2024;7216165,0;1312030,0
Camamu;TERRA;2024;840720,0;169500,0
Campos;MAR;2022;12187843716,4;2704297040,0
Campos;MAR;2023;17597983836,4;3673012300,0
Campos;MAR;2024;32779184026,6;5940083480,0
Ceará;MAR;2022;2202339,6;426810,0
Ceará;MAR;2024;12242630,4;2271360,0
Espírito Santo;MAR;2022;106866592,8;20710580,0
Espírito Santo;MAR;2023;6600000,0;1320000,0
Espírito Santo;MAR;2024;132192000,0;24480000,0
Espírito Santo;TERRA;2022;65235071,3;12629980,0
Espírito Santo;TERRA;2023;104868561,4;21228950,0
Espírito Santo;TERRA;2024;160774327,3;26738210,0
Paraná;TERRA;2022;2000000,0;400000,0
Paraná;TERRA;2023;82256300,0;16787000,0
Paraná;TERRA;2024;11324390,0;2101000,0
Parnaíba;TERRA;2022;256670095,0;46667290,0
Parnaíba;TERRA;2023;216718095,0;39403290,0
Parnaíba;TERRA;2024;243638450,0;44297900,0
Potiguar;MAR;2022;22460138,4;4352740,0
Potiguar;MAR;2023;45996400,0;9199280,0
Potiguar;MAR;2024;43791162,8;8124520,0
Potiguar;TERRA;2022;636873710,3;122507980,0
Potiguar;TERRA;2023;787314912,8;152521280,0
Potiguar;TERRA;2024;1044090702,6;198006920,0
Recôncavo;TERRA;2022;1695637153,3;318635620,0
Recôncavo;TERRA;2023;763303690,1;149081560,0
Recôncavo;TERRA;2024;720213474,0;137269840,0
Santos;MAR;2022;22303682220,2;5691890080,0
Santos;MAR;2023;37251839024,8;8895528860,0
Santos;MAR;2024;57330479952,7;11388157720,0
Sergipe;MAR;2022;26963930,8;5226130,0
Sergipe;MAR;2023;284747850,0;56949570,0
Sergipe;MAR;2024;132609846,6;24602940,0
Sergipe;TERRA;2022;59993885,0;11569610,0
Sergipe;TERRA;2023;14848922,0;2852690,0
Sergipe;TERRA;2024;866086328,0;164280740,0
Solimões;TERRA;2022;212560317,6;41193860,0
Solimões;TERRA;2023;167480400,0;33496080,0
Solimões;TERRA;2024;142168095,3;26376270,0
Tucano Sul;TERRA;2022;45814893,6;8366380,0
Tucano Sul;TERRA;2023;4005155,0;728210,0
