BACIA;AMBIENTE;ANO;TIPO ATIVIDADE;QUANTIDADE ATIVIDADE;UNIDADE DA ATIVIDADE
Alagoas;MAR;2025;Sem Atividade;0,0;sem unidade
Alagoas;MAR;2026;Sem Atividade;0,0;sem unidade
Alagoas;MAR;2027;Sem Atividade;0,0;sem unidade
Alagoas;MAR;2028;Completação para produção;1,0;Unidade
Alagoas;MAR;2028;Perfuração - produtor;1,0;Unidade
Alagoas;MAR;2029;Sem Atividade;0,0;sem unidade
Alagoas;TERRA;2025;Abandono Permanente;39,0;Unidade
Alagoas;TERRA;2025;Coleta - linhas - lançamento (inclui risers);9,1;Kilômetro
Alagoas;TERRA;2025;Completação para produção;5,0;Unidade
Alagoas;TERRA;2025;Descomissionamento - Arrasamento de poço;40,0;Unidade
Alagoas;TERRA;2025;Descomissionamento - remoção de linhas;13,97;Kilômetro
Alagoas;TERRA;2025;Escoamento - oleoduto - lançamento;15,0;Kilômetro
Alagoas;TERRA;2025;Perfuração - produtor;2,0;Unidade
Alagoas;TERRA;2025;Recompletação para injeção;3,0;Unidade
Alagoas;TERRA;2025;Recompletação para produção;39,0;Unidade
Alagoas;TERRA;2025;Recuperação Ambiental;0,16;Kilômetro Quadrado
Alagoas;TERRA;2025;Remoção de instalações associadas à Unidades Produção Terrestres;27,0;Unidade
Alagoas;TERRA;2025;Sem Atividade;0,0;sem unidade
Alagoas;TERRA;2026;Coleta - linhas - lançamento (inclui risers);9,0;Kilômetro
Alagoas;TERRA;2026;Completação para produção;10,0;Unidade
Alagoas;TERRA;2026;Perfuração - produtor;10,0;Unidade
Alagoas;TERRA;2026;Recompletação para injeção;6,0;Unidade
Alagoas;TERRA;2026;Recompletação para produção;31,0;Unidade
Alagoas;TERRA;2026;Sem Atividade;0,0;sem unidade
Alagoas;TERRA;2027;Coleta - linhas - lançamento (inclui risers);7,0;Kilômetro
Alagoas;TERRA;2027;Completação para produção;13,0;Unidade
Alagoas;TERRA;2027;Perfuração - produtor;13,0;Unidade
Alagoas;TERRA;2027;Recompletação para injeção;3,0;Unidade
