BACIA;AMBIENTE;ANO;VOLUME PETRÓLEO;VAZÃO PETRÓLEO;VOLUME GÁS;VAZÃO GÁS;VOLUME GÁS SEM CO2;VAZÃO GÁS SEM CO2;VOLUME PETRÓLEO EQUIVALENTE;VAZÃO PETRÓLEO EQUIVALENTE;VOLUME INJEÇÃO ÁGUA;VAZÃO INJEÇÃO ÁGUA;VOLUME INJEÇÃO GÁS;VAZÃO INJEÇÃO GÁS;PERCENTUAL INJEÇÃO TOTAL;VOLUME INJEÇÃO GÁS SEM CO2;VAZÃO INJEÇAÕ GÁS SEM CO2;PERCENTUAL INJEÇÃO SEM CO2;VOLUME QUEIMA;VAZÃO QUEIMA
Alagoas;MAR;2025;3418,23;9,37;51556,81;141,25;51556,81;141,25;54975,04;150,62;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alagoas;TERRA;2025;193002,8;528,77;615521,77;1686,36;612427,68;1677,88;808524,57;2215,14;727641,27;1993,54;0,0;0,0;0,0;0,0;0,0;0,0;8988,43;24,63
Alagoas;MAR;2026;3145,97;8,62;47783,69;130,91;47783,69;130,91;50929,66;139,53;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alagoas;TERRA;2026;247457,62;677,97;807852,36;2213,29;803843,07;2202,31;1055309,98;2891,26;817208,94;2238,93;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alagoas;MAR;2027;2895,4;7,93;44286,69;121,33;44286,69;121,33;47182,09;129,27;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alagoas;TERRA;2027;287503,88;787,68;1035707,68;2837,56;1030530,27;2823,37;1323211,56;3625,24;934247,6;2559,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alagoas;MAR;2028;2926,51;8,0;45191,32;123,47;45191,32;123,47;48117,84;131,47;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alagoas;TERRA;2028;290650,29;794,13;1026184,39;2803,78;1021006,37;2789,63;1316834,68;3597,91;1008477,32;2755,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alagoas;MAR;2029;5314,26;14,56;83581,4;228,99;83581,4;228,99;88895,66;243,55;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Alagoas;TERRA;2029;263212,16;721,13;989589,72;2711,2;984556,08;2697,41;1252801,88;3432,33;1058832,94;2900,91;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Amazonas;TERRA;2025;12775,0;35,0;255500,0;700,0;255500,0;700,0;268275,0;735,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1640,52;4,49
Amazonas;TERRA;2026;12775,0;35,0;255500,0;700,0;255500,0;700,0;268275,0;735,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Amazonas;TERRA;2027;54749,99;150,0;1094999,96;3000,0;1094999,96;3000,0;1149749,95;3150,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Amazonas;TERRA;2028;54899,99;150,0;1097999,83;3000,0;1097999,83;3000,0;1152899,81;3150,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Amazonas;TERRA;2029;163503,11;447,95;1198203,43;3282,75;1198203,43;3282,75;1361706,54;3730,7;0,0;0,0;92997,24;254,79;7,76;92997,24;254,79;7,76;0,0;0,0
Barreirinhas;TERRA;2025;1528,01;4,19;934,73;2,56;934,73;2,56;2462,74;6,75;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;934,73;2,56
Barreirinhas;TERRA;2026;1189,54;3,26;723,69;1,98;723,69;1,98;1913,24;5,24;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Barreirinhas;TERRA;2027;936,3;2,57;548,91;1,5;548,91;1,5;1485,21;4,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Barreirinhas;TERRA;2028;788,65;2,15;464,19;1,27;464,19;1,27;1252,84;3,42;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Barreirinhas;TERRA;2029;665,38;1,82;393,1;1,08;393,1;1,08;1058,48;2,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Camamu;MAR;2025;8321,53;22,8;594099,88;1627,67;591782,89;1621,32;602421,41;1650,47;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9411,45;25,78
Camamu;TERRA;2025;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Camamu;MAR;2026;11019,22;30,19;784249,5;2148,63;781190,93;2140,25;795268,72;2178,82;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Camamu;TERRA;2026;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Camamu;MAR;2027;8803,43;24,12;623769,67;1708,96;621336,97;1702,29;632573,1;1733,08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Camamu;TERRA;2027;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Camamu;MAR;2028;7103,16;19,41;497875,2;1360,31;495933,48;1355,01;504978,36;1379,72;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Camamu;TERRA;2028;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Camamu;MAR;2029;5771,88;15,81;400725,99;1097,88;399163,16;1093,6;406497,87;1113,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Camamu;TERRA;2029;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Campos;MAR;2025;48211432,41;132086,12;5228491,34;14324,63;5122960,65;14035,51;53439923,75;146410,75;92531406,74;253510,7;0,0;0,0;0,0;0,0;0,0;0,0;494425,14;1354,59
Campos;MAR;2026;58358889,93;159887,37;7393862,45;20257,16;7240732,18;19837,62;65752752,38;180144,53;122402641,2;335349,7;3864,83;10,59;0,05;3864,83;10,59;0,05;0,0;0,0
Campos;MAR;2027;58666409,96;160729,89;7079210,76;19395,1;6938789,37;19010,38;65745620,72;180124,99;138316874,11;378950,34;18000,0;49,32;0,25;18000,0;49,32;0,26;0,0;0,0
Campos;MAR;2028;56220360,56;153607,54;5797589,98;15840,41;5679950,29;15518,99;62017950,54;169447,95;141972032,33;387901,73;17237,34;47,1;0,3;17237,34;47,1;0,3;0,0;0,0
Campos;MAR;2029;48988601,92;134215,35;4916501,21;13469,87;4821613,13;13209,9;53905103,13;147685,21;137893972,51;377791,71;15339,21;42,03;0,31;15339,21;42,03;0,32;0,0;0,0
