Bacia,Ambiente,Ano,Atividade,Quantidade realizada,Unidade da Atividade
Alagoas,TERRA,2022,Coleta - linhas - lançamento (inclui risers),"1,00",Kilômetro
Alagoas,TERRA,2022,Coleta - manifold - instalação,"2,00",Unidade
Alagoas,TERRA,2022,Mudança de método de elevação artificial - poço,"6,00",Unidade
Alagoas,TERRA,2022,Perfuração - produtor,"1,00",Unidade
Alagoas,TERRA,2022,Recompletação para injeção,"8,00",Unidade
Alagoas,TERRA,2022,Recompletação para produção,"44,00",Unidade
Alagoas,TERRA,2022,UEP - alteração/ampliação/melhorias,"1,00",Unidade
Alagoas,TERRA,2023,Abandono Permanente,"1,00",Unidade
Alagoas,TERRA,2023,Coleta - linhas - lançamento (inclui risers),"23,00",Kilômetro
Alagoas,TERRA,2023,Coleta - manifold - instalação,"1,00",Unidade
Alagoas,TERRA,2023,Completação para produção,"1,00",Unidade
Alagoas,TERRA,2023,Mudança de método de elevação artificial - poço,"16,00",Unidade
Alagoas,TERRA,2023,Recompletação para injeção,"16,00",Unidade
Alagoas,TERRA,2023,Recompletação para produção,"72,00",Unidade
Alagoas,TERRA,2024,Coleta - linhas - lançamento (inclui risers),"23,00",Kilômetro
Alagoas,TERRA,2024,Completação para produção,"3,00",Unidade
Alagoas,TERRA,2024,Mudança de método de elevação artificial - poço,"7,00",Unidade
Alagoas,TERRA,2024,Perfuração - produtor,"3,00",Unidade
Alagoas,TERRA,2024,Recompletação para injeção,"13,00",Unidade
Alagoas,TERRA,2024,Recompletação para outros fins,"3,00",Unidade
Alagoas,TERRA,2024,Recompletação para produção,"68,10",Unidade
Alagoas,TERRA,2024,UEP - alteração/ampliação/melhorias,"3,00",Unidade
Alagoas,TERRA,2024,UEP - instalação,"1,00",Unidade
Amazonas,TERRA,2022,Completação para produção,"1,00",Unidade
Amazonas,TERRA,2022,Perfuração - produtor,"1,00",Unidade
Amazonas,TERRA,2023,Completação para produção,"5,00",Unidade
Amazonas,TERRA,2023,Perfuração - produtor,"5,00",Unidade
Amazonas,TERRA,2024,Coleta - linhas - lançamento (inclui risers),"14,50",Kilômetro
Amazonas,TERRA,2024,Coleta - manifold - instalação,"1,80",Unidade
Amazonas,TERRA,2024,Escoamento - gasoduto - lançamento,"1,85",Kilômetro
Amazonas,TERRA,2024,Teste de Formação - poço exploratório,"4,00",Unidade
Amazonas,TERRA,2024,UEP - construção,"0,20",Unidade
Barreirinhas,TERRA,2022,Mudança de método de elevação artificial - poço,"3,00",Unidade
Barreirinhas,TERRA,2022,Recompletação para produção,"1,00",Unidade
Barreirinhas,TERRA,2024,Recompletação para produção,"3,00",Unidade
Camamu,TERRA,2024,Coleta - manifold - instalação,"3,00",Unidade
Campos,MAR,2022,Abandono Permanente,"27,88",Unidade
Campos,MAR,2022,Coleta - linhas - lançamento (inclui risers),"202,27",Kilômetro
Campos,MAR,2022,Coleta - manifold - instalação,"3,02",Unidade
Campos,MAR,2022,Completação para injeção,"2,01",Unidade
Campos,MAR,2022,Completação para produção,"19,00",Unidade
Campos,MAR,2022,Descomissionamento - desmobilização UEP,"2,00",Unidade
Campos,MAR,2022,Descomissionamento - remoção de linhas,"172,86",Kilômetro
Campos,MAR,2022,Elevação Artificial - sistema submarino,"5,10",Unidade
Campos,MAR,2022,Escoamento - compressor - instalação,"6,01",Unidade
Campos,MAR,2022,Escoamento - gasoduto - lançamento,"1,12",Kilômetro
Campos,MAR,2022,Escoamento - oleoduto - lançamento,"0,04",Kilômetro
Campos,MAR,2022,Levantamento de Sísmica 2D - Aquisição,"3,00",Kilômetro
Campos,MAR,2022,Levantamento de Sísmica 3D - Aquisição,"1.013,93",Kilômetro Quadrado
Campos,MAR,2022,Mudança de método de elevação artificial - poço,"14,03",Unidade
Campos,MAR,2022,Perfuração - injetor,"3,00",Unidade
Campos,MAR,2022,Perfuração - outro,"3,00",Unidade
Campos,MAR,2022,Perfuração - produtor,"23,48",Unidade
Campos,MAR,2022,Recompletação para outros fins,"11,00",Unidade
Campos,MAR,2022,Recompletação para produção,"1,02",Unidade
Campos,MAR,2022,Recuperação Ambiental,"1,00",Kilômetro Quadrado
Campos,MAR,2022,Remoção dos Demais Equipamentos do Sistema Submarino,"3,00",Unidade
Campos,MAR,2022,UEP - alteração/ampliação/melhorias,"121,57",Unidade
Campos,MAR,2022,UEP - construção,"1,10",Unidade
Campos,MAR,2022,UEP - instalação,"5,59",Unidade
Campos,MAR,2023,Abandono Permanente,"43,19",Unidade
Campos,MAR,2023,Coleta - linhas - lançamento (inclui risers),"291,98",Kilômetro
Campos,MAR,2023,Coleta - manifold - instalação,"4,01",Unidade
Campos,MAR,2023,Completação para injeção,"5,00",Unidade
Campos,MAR,2023,Completação para produção,"26,00",Unidade
Campos,MAR,2023,Descomissionamento - Arrasamento de poço,"1,00",Unidade
Campos,MAR,2023,Descomissionamento - desmobilização UEP,"10,96",Unidade
Campos,MAR,2023,Descomissionamento - remoção de linhas,"336,03",Kilômetro
Campos,MAR,2023,Elevação Artificial - sistema submarino,"14,00",Unidade
Campos,MAR,2023,Escoamento - compressor - instalação,"3,00",Unidade
Campos,MAR,2023,Escoamento - gasoduto - lançamento,"26,52",Kilômetro
Campos,MAR,2023,Escoamento - oleoduto - lançamento,"19,82",Kilômetro
Campos,MAR,2023,Levantamento de Sísmica 3D - Aquisição,"0,01",Kilômetro Quadrado
Campos,MAR,2023,Mudança de método de elevação artificial - poço,"11,00",Unidade
Campos,MAR,2023,Perfuração - exploratório,"0,01",Unidade
Campos,MAR,2023,Perfuração - injetor,"6,32",Unidade
Campos,MAR,2023,Perfuração - outro,"2,00",Unidade
Campos,MAR,2023,Perfuração - produtor,"23,57",Unidade
Campos,MAR,2023,Recompletação para outros fins,"7,00",Unidade
Campos,MAR,2023,Recompletação para produção,"13,10",Unidade
Campos,MAR,2023,Remoção dos Demais Equipamentos do Sistema Submarino,"5,09",Unidade
Campos,MAR,2023,UEP - alteração/ampliação/melhorias,"67,46",Unidade
Campos,MAR,2023,UEP - construção,"4,00",Unidade
Campos,MAR,2023,UEP - instalação,"3,00",Unidade
Campos,MAR,2024,Abandono Permanente,"49,07",Unidade
Campos,MAR,2024,Coleta - linhas - lançamento (inclui risers),"250,40",Kilômetro
Campos,MAR,2024,Coleta - manifold - instalação,"5,00",Unidade
Campos,MAR,2024,Completação para injeção,"2,63",Unidade
Campos,MAR,2024,Completação para produção,"23,19",Unidade
Campos,MAR,2024,Descomissionamento - desmobilização UEP,"8,50",Unidade
Campos,MAR,2024,Descomissionamento - remoção de linhas,"397,37",Kilômetro
Campos,MAR,2024,Elevação Artificial - sistema submarino,"32,00",Unidade
Campos,MAR,2024,Escoamento - gasoduto - lançamento,"19,17",Kilômetro
Campos,MAR,2024,Levantamento de Sísmica 3D - Aquisição,"681,38",Kilômetro Quadrado
Campos,MAR,2024,Mudança de método de elevação artificial - poço,"3,00",Unidade
Campos,MAR,2024,Perfuração - exploratório,"3,00",Unidade
Campos,MAR,2024,Perfuração - injetor,"4,32",Unidade
Campos,MAR,2024,Perfuração - outro,"0,26",Unidade
Campos,MAR,2024,Perfuração - produtor,"22,11",Unidade
Campos,MAR,2024,Recompletação para injeção,"0,96",Unidade
Campos,MAR,2024,Recompletação para produção,"9,87",Unidade
Campos,MAR,2024,Remoção dos Demais Equipamentos do Sistema Submarino,"5,00",Unidade
Campos,MAR,2024,Teste de Formação - poço exploratório,"2,00",Unidade
