[SIGLA DA INSTALAÇÃO],[NOME DA INSTALAÇÃO],[CAMPOS],[BACIA],[OPERADOR],[CLASSIFICAÇÃO],[LÂMINA D'ÁGUA (m)],[SISTEMA DE ESCOAMENTO],[ANO DE INÍCIO DE OPERAÇÃO],[LATITUDE],[LONGITUDE],[CAPACIDADE DE PRODUÇÃO DE PETRÓLEO (bbl/d)],[CAPACIDADE DE PRODUÇÃO DE GÁS NATURAL (Mil m³/d)]
PEREGRINO 1,FPSO PEREGRINO,PEREGRINO,CAMPOS,PRIO TIGRIS S.A,Floating Production Storage Offloading - FPSO,98,Navio Aliviador,2011,-23.31725556,-41.25740278,18239,364
WHPC,PEREGRINO C,PEREGRINO / PITANGOLA,CAMPOS,PRIO TIGRIS S.A,Plataforma Fixa - Jaqueta,121,Duto,2021,-23.34819333,-41.40877444,,
FPSO BACALHAU,FPSO BACALHAU,BACALHAU / BACALHAU NORTE,SANTOS,EQUINOR BRASIL ENERGIA LTDA.,Floating Production Storage Offloading - FPSO,2100,Navio Aliviador,2025,-25.47606333,-43.93906806,220000,15000
FPMQT,FPSO MARIA QUITÉRIA,AnC_Jubarte_Nordeste / AnC_Jubarte_Sudoeste / ARGONAUTA / JUBARTE,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1385,Navio Aliviador e Duto,2024,-21.27003889,-39.99762222,100000,5000
FPAGA,FPSO ANITA GARIBALDI,ESPADIM / MARLIM / MARLIM SUL / VOADOR,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,670,Navio Aliviador e Duto,2023,-22.39583639,-40.10831417,80000,6622
P-71,PETROBRAS 71,ITAPU / ITAPU_ECO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2010,Navio Aliviador,2023,-24.77717500,-42.72058333,150955,6000
FPSOATLANTA,FPSO ATLANTA,ATLANTA,SANTOS,ENAUTA ENERGIA S.A.,Floating Production Storage Offloading - FPSO,1550,Navio Aliviador,2024,-24.09909722,-41.88699167,50000,350
FPCCG,FPSO CIDADE DE CARAGUATATUBA - CCG (MV-27),LAPA,SANTOS,TOTALENERGIES EP BRASIL LTDA.,Floating Production Storage Offloading - FPSO,2140,Navio Aliviador,2016,-25.51872556,-43.46654667,120764,4739
FCDA,FPSO CIDADE DE ANCHIETA,AnC_Jubarte_Nordeste / AnC_Jubarte_Sudoeste / ARGONAUTA / JUBARTE,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1221,Navio Aliviador,2012,-21.33756667,-40.05720278,100000,3500
FPGNB,FPSO GUANABARA,AnC_MERO / MERO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1930,Navio Aliviador,2021,-24.58365556,-42.25626667,190000,12000
FPMDC,FPSO MARECHAL DUQUE DE CAXIAS,AnC_MERO / MERO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2070,Navio Aliviador,2024,-24.68622167,-42.29323194,200000,13500
FPADG,FPSO ALEXANDRE DE GUSMÃO,AnC_MERO / MERO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1890,Navio Aliviador,2025,-24.55964917,-42.18826083,180000,12000
FPSTB,FPSO SEPETIBA,AnC_MERO / MERO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2000,Navio Aliviador,2023,-24.63081444,-42.26445806,190000,12000
FPPL,FPSO PIONEIRO DE LIBRA,AnC_MERO / MERO,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2040,Navio Aliviador,2017,-24.54004972,-42.13184361,50318,4000
