BACIA,AMBIENTE,ANO,TIPO ATIVIDADE,QUANTIDADE ATIVIDADE,UNIDADE DA ATIVIDADE
Alagoas,MAR,2025,Sem Atividade,"0,00",sem unidade
Alagoas,MAR,2026,Sem Atividade,"0,00",sem unidade
Alagoas,MAR,2027,Sem Atividade,"0,00",sem unidade
Alagoas,MAR,2028,Completação para produção,"1,00",Unidade
Alagoas,MAR,2028,Perfuração - produtor,"1,00",Unidade
Alagoas,MAR,2029,Sem Atividade,"0,00",sem unidade
Alagoas,TERRA,2025,Abandono Permanente,"39,00",Unidade
Alagoas,TERRA,2025,Coleta - linhas - lançamento (inclui risers),"9,10",Kilômetro
Alagoas,TERRA,2025,Completação para produção,"5,00",Unidade
Alagoas,TERRA,2025,Descomissionamento - Arrasamento de poço,"40,00",Unidade
Alagoas,TERRA,2025,Descomissionamento - remoção de linhas,"13,97",Kilômetro
Alagoas,TERRA,2025,Escoamento - oleoduto - lançamento,"15,00",Kilômetro
Alagoas,TERRA,2025,Perfuração - produtor,"2,00",Unidade
Alagoas,TERRA,2025,Recompletação para injeção,"3,00",Unidade
Alagoas,TERRA,2025,Recompletação para produção,"39,00",Unidade
Alagoas,TERRA,2025,Recuperação Ambiental,"0,16",Kilômetro Quadrado
Alagoas,TERRA,2025,Remoção de instalações associadas à Unidades Produção Terrestres,"27,00",Unidade
Alagoas,TERRA,2025,Sem Atividade,"0,00",sem unidade
Alagoas,TERRA,2026,Coleta - linhas - lançamento (inclui risers),"9,00",Kilômetro
Alagoas,TERRA,2026,Completação para produção,"10,00",Unidade
Alagoas,TERRA,2026,Perfuração - produtor,"10,00",Unidade
Alagoas,TERRA,2026,Recompletação para injeção,"6,00",Unidade
Alagoas,TERRA,2026,Recompletação para produção,"31,00",Unidade
Alagoas,TERRA,2026,Sem Atividade,"0,00",sem unidade
Alagoas,TERRA,2027,Coleta - linhas - lançamento (inclui risers),"7,00",Kilômetro
Alagoas,TERRA,2027,Completação para produção,"13,00",Unidade
Alagoas,TERRA,2027,Perfuração - produtor,"13,00",Unidade
Alagoas,TERRA,2027,Recompletação para injeção,"3,00",Unidade
Alagoas,TERRA,2027,Recompletação para produção,"22,00",Unidade
Alagoas,TERRA,2027,Sem Atividade,"0,00",sem unidade
Alagoas,TERRA,2027,UEP - alteração/ampliação/melhorias,"1,00",Unidade
Alagoas,TERRA,2028,Coleta - linhas - lançamento (inclui risers),"4,00",Kilômetro
Alagoas,TERRA,2028,Completação para produção,"7,00",Unidade
Alagoas,TERRA,2028,Perfuração - produtor,"7,00",Unidade
Alagoas,TERRA,2028,Recompletação para produção,"1,00",Unidade
Alagoas,TERRA,2028,Sem Atividade,"0,00",sem unidade
Alagoas,TERRA,2029,Completação para produção,"3,00",Unidade
Alagoas,TERRA,2029,Perfuração - produtor,"3,00",Unidade
Alagoas,TERRA,2029,Recompletação para produção,"1,00",Unidade
Alagoas,TERRA,2029,Sem Atividade,"0,00",sem unidade
Amazonas,TERRA,2025,Coleta - linhas - lançamento (inclui risers),"1,15",Kilômetro
Amazonas,TERRA,2025,Coleta - manifold - instalação,"0,60",Unidade
Amazonas,TERRA,2025,Levantamento de Sísmica 2D - Aquisição,"176,90",Kilômetro
Amazonas,TERRA,2025,Levantamento de Sísmica 3D - Aquisição,"57,20",Kilômetro Quadrado
Amazonas,TERRA,2025,Sem Atividade,"0,00",sem unidade
