BACIA,AMBIENTE,ANO,VOLUME PETRÓLEO,VAZÃO PETRÓLEO,VOLUME GÁS,VAZÃO GÁS,VOLUME GÁS SEM CO2,VAZÃO GÁS SEM CO2,VOLUME PETRÓLEO EQUIVALENTE,VAZÃO PETRÓLEO EQUIVALENTE,VOLUME INJEÇÃO ÁGUA,VAZÃO INJEÇÃO ÁGUA,VOLUME INJEÇÃO GÁS,VAZÃO INJEÇÃO GÁS,PERCENTUAL INJEÇÃO TOTAL,VOLUME INJEÇÃO GÁS SEM CO2,VAZÃO INJEÇAÕ GÁS SEM CO2,PERCENTUAL INJEÇÃO SEM CO2,VOLUME QUEIMA,VAZÃO QUEIMA
Alagoas,MAR,2025,"3.418,23","9,37","51.556,81","141,25","51.556,81","141,25","54.975,04","150,62","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,TERRA,2025,"193.002,80","528,77","615.521,77","1.686,36","612.427,68","1.677,88","808.524,57","2.215,14","727.641,27","1.993,54","0,00","0,00","0,00","0,00","0,00","0,00","8.988,43","24,63"
Alagoas,MAR,2026,"3.145,97","8,62","47.783,69","130,91","47.783,69","130,91","50.929,66","139,53","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,TERRA,2026,"247.457,62","677,97","807.852,36","2.213,29","803.843,07","2.202,31","1.055.309,98","2.891,26","817.208,94","2.238,93","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,MAR,2027,"2.895,40","7,93","44.286,69","121,33","44.286,69","121,33","47.182,09","129,27","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,TERRA,2027,"287.503,88","787,68","1.035.707,68","2.837,56","1.030.530,27","2.823,37","1.323.211,56","3.625,24","934.247,60","2.559,58","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,MAR,2028,"2.926,51","8,00","45.191,32","123,47","45.191,32","123,47","48.117,84","131,47","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,TERRA,2028,"290.650,29","794,13","1.026.184,39","2.803,78","1.021.006,37","2.789,63","1.316.834,68","3.597,91","1.008.477,32","2.755,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,MAR,2029,"5.314,26","14,56","83.581,40","228,99","83.581,40","228,99","88.895,66","243,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,TERRA,2029,"263.212,16","721,13","989.589,72","2.711,20","984.556,08","2.697,41","1.252.801,88","3.432,33","1.058.832,94","2.900,91","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Amazonas,TERRA,2025,"12.775,00","35,00","255.500,00","700,00","255.500,00","700,00","268.275,00","735,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1.640,52","4,49"
Amazonas,TERRA,2026,"12.775,00","35,00","255.500,00","700,00","255.500,00","700,00","268.275,00","735,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Amazonas,TERRA,2027,"54.749,99","150,00","1.094.999,96","3.000,00","1.094.999,96","3.000,00","1.149.749,95","3.150,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Amazonas,TERRA,2028,"54.899,99","150,00","1.097.999,83","3.000,00","1.097.999,83","3.000,00","1.152.899,81","3.150,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Amazonas,TERRA,2029,"163.503,11","447,95","1.198.203,43","3.282,75","1.198.203,43","3.282,75","1.361.706,54","3.730,70","0,00","0,00","92.997,24","254,79","7,76","92.997,24","254,79","7,76","0,00","0,00"
Barreirinhas,TERRA,2025,"1.528,01","4,19","934,73","2,56","934,73","2,56","2.462,74","6,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","934,73","2,56"
Barreirinhas,TERRA,2026,"1.189,54","3,26","723,69","1,98","723,69","1,98","1.913,24","5,24","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Barreirinhas,TERRA,2027,"936,30","2,57","548,91","1,50","548,91","1,50","1.485,21","4,07","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Barreirinhas,TERRA,2028,"788,65","2,15","464,19","1,27","464,19","1,27","1.252,84","3,42","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Barreirinhas,TERRA,2029,"665,38","1,82","393,10","1,08","393,10","1,08","1.058,48","2,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Camamu,MAR,2025,"8.321,53","22,80","594.099,88","1.627,67","591.782,89","1.621,32","602.421,41","1.650,47","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","9.411,45","25,78"
Camamu,TERRA,2025,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Camamu,MAR,2026,"11.019,22","30,19","784.249,50","2.148,63","781.190,93","2.140,25","795.268,72","2.178,82","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Camamu,TERRA,2026,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
